ZAGI 12	
1.00000	0.00000
0.95000	0.00730
0.90000	0.01460
0.80000	0.02940
0.70000	0.04430
0.60000	0.05810
0.50000	0.06980
0.40000	0.07700
0.30000	0.07940
0.20000	0.07280
0.15000	0.06520
0.10000	0.05380
0.07500	0.04620
0.05000	0.03710
0.02500	0.02480
0.01250	0.01660
0.00000	0.00000
0.01250	-0.01270
0.02500	-0.01780
0.05000	-0.02370
0.07500	-0.02770
0.10000	-0.03080
0.15000	-0.03470
0.20000	-0.03700
0.30000	-0.03960
0.40000	-0.04070
0.50000	-0.04020
0.60000	-0.03840
0.70000	-0.03420
0.80000	-0.02740
0.90000	-0.01680
0.95000	-0.00970
1.00000	0.00000

http://perso.wanadoo.fr/scherrer/matthieu/fwairf.html	
