ZAGI 10	
1.00000	0.00000
0.95000	0.00590
0.90000	0.01201
0.80000	0.02471
0.70000	0.03782
0.60000	0.05014
0.50000	0.06072
0.40000	0.06729
0.30000	0.06957
0.20000	0.06373
0.15000	0.05695
0.10000	0.04681
0.07500	0.04010
0.05000	0.03208
0.02500	0.02129
0.01250	0.01417
0.00000	0.00000
0.01250	-0.01029
0.02500	-0.01428
0.05000	-0.01868
0.07500	-0.02160
0.10000	-0.02382
0.15000	-0.02645
0.20000	-0.02794
0.30000	-0.02978
0.40000	-0.03099
0.50000	-0.03112
0.60000	-0.03044
0.70000	-0.02772
0.80000	-0.02271
0.90000	-0.01421
0.95000	-0.00830
1.00000	0.00000

http://perso.wanadoo.fr/scherrer/matthieu/fwairf.html	
