Ritz 2-30-12 de profils MRA	
1.000000	0.000000
0.950200	0.008500
0.873100	0.021000
0.759700	0.039400
0.627400	0.056800
0.506200	0.069500
0.397300	0.076700
0.308500	0.079700
0.233600	0.076900
0.169300	0.070000
0.113800	0.059000
0.068100	0.045600
0.035500	0.031300
0.009900	0.015500
0.002900	0.008300
0.001100	0.005500
0.000000	0.000000
0.003400	-0.006100
0.010700	-0.011900
0.023000	-0.018200
0.047000	-0.025300
0.086400	-0.031700
0.165900	-0.038100
0.266100	-0.039700
0.386200	-0.037600
0.529400	-0.031600
0.676300	-0.023000
0.818600	-0.013100
0.915100	-0.006900
0.976800	-0.001900
1.000000	0.000000
 Epaisseur relative : 11.73
