Ritz 1-30-12 de profils MRA	
1.000000	0.000000
0.977000	0.003500
0.916200	0.012700
0.820000	0.025700
0.756700	0.033600
0.620000	0.048500
0.477500	0.060900
0.368300	0.068300
0.285000	0.069500
0.206600	0.065300
0.141200	0.058000
0.089200	0.047300
0.048000	0.034200
0.020100	0.022100
0.009600	0.015300
0.001400	0.005900
0.000000	0.000000
0.000400	-0.001900
0.003400	-0.007000
0.010100	-0.012900
0.021300	-0.019000
0.044800	-0.026200
0.096500	-0.036800
0.167000	-0.045000
0.247500	-0.049700
0.341200	-0.048900
0.469400	-0.044000
0.610100	-0.036200
0.755000	-0.025000
0.873300	-0.013800
0.949900	-0.006100
1.000000	0.000000
 Epaisseur relative : 11.84
