Prise d'air NACA modifiée	
1.00000	0.00000
0.91780	0.00120
0.83400	0.01215
0.75000	0.03045
0.66680	0.05610
0.58380	0.08805
0.50040	0.12327
0.41680	0.15960
0.33340	0.19644
0.25020	0.23160
0.16670	0.26286
0.08340	0.28710
0.00000	0.00000
0.08340	-0.28710
0.16670	-0.26286
0.25020	-0.23160
0.33340	-0.19644
0.41680	-0.15960
0.50040	-0.12327
0.58380	-0.08805
0.66680	-0.05610
0.75000	-0.03045
0.83400	-0.01215
0.91780	-0.00120
1.00000	0.00000
